Project,Category,Link
Mythic,Simulation,https://github.com/its-a-feature/Mythic
MythicAgents,Simulation,https://github.com/mythicagents
Covenant,Simulation,https://github.com/cobbr/Covenant
Cs2modrewrite,Simulation,https://github.com/threatexpress/cs2modrewrite
Domain Hunter,Simulation,https://github.com/threatexpress/domainhunter
Empire,Simulation,https://github.com/EmpireProject/Empire
GhostManager,Simulation,https://github.com/GhostManager
GhostPack,Simulation,https://github.com/GhostPack
Malleable C2,Simulation,https://github.com/threatexpress/malleable-c2
KeeThief,Simulation,https://github.com/HarmJ0y/KeeThief
Merlin,Simulation,https://github.com/Ne0nd0g/merlin
PortPlow.io,Simulation,https://github.com/threatexpress/portplow
PowerSploit,Simulation,https://github.com/PowerShellMafia/PowerSploit/
SharpSploit,Simulation,https://github.com/cobbr/SharpSploit
ACE,Detection,https://github.com/Invoke-IR/ACE
CimSweep,Detection,https://github.com/PowerShellMafia/CimSweep
PowerForensics,Detection,https://github.com/Invoke-IR/PowerForensics
Uproot,Detection,https://github.com/Invoke-IR/Uproot
BloodHound,Hybrid,https://github.com/BloodHoundAD/BloodHound
PowerSCCM,Simulation,https://github.com/PowerShellMafia/PowerSCCM
MoveKit,Simulation,https://github.com/0xthirteen/MoveKit
StayKit,Simulation,https://github.com/0xthirteen/StayKit
SharpRDP,Simulation,https://github.com/0xthirteen/SharpRDP
WireTap,Simulation,https://github.com/djhohnstein/WireTap
SharpChromium,Simulation,https://github.com/djhohnstein/SharpChromium
